,model,type,elapsed,mse
76,linstorch(0.7),linstorch,0.010000944137573242,0.6431533098220825
77,linstorch(0.7),linstorch,0.02399921417236328,0.5511312484741211
78,linstorch(0.7),linstorch,0.002997875213623047,0.4723813831806183
79,linstorch(0.7),linstorch,0.014001131057739258,0.49923306703567505
80,linstorch(0.7),linstorch,0.02199864387512207,0.568762481212616
81,linstorch(0.7),linstorch,0.054999589920043945,0.5339450836181641
82,linstorch(0.7),linstorch,0.023000240325927734,0.5762895941734314
83,linstorch(0.7),linstorch,0.006999492645263672,0.4621584713459015
84,linstorch(0.7),linstorch,0.009001493453979492,0.5823029279708862
85,linstorch(0.7),linstorch,0.04399871826171875,0.6518032550811768
86,linstorch(0.7),linstorch,0.009999990463256836,0.5841769576072693
87,linstorch(0.7),linstorch,0.005000591278076172,0.6026674509048462
88,linstorch(0.7),linstorch,0.006998777389526367,0.42537030577659607
89,linstorch(0.7),linstorch,0.007002115249633789,0.555148184299469
90,linstorch(0.7),linstorch,0.007998228073120117,0.5173408389091492
91,linstorch(0.7),linstorch,0.0059986114501953125,0.6788997054100037
92,linstorch(0.7),linstorch,0.01299738883972168,0.7822514176368713
93,linstorch(0.7),linstorch,0.010000944137573242,0.4523901045322418
94,linstorch(0.7),linstorch,0.005999088287353516,0.6156056523323059
95,linstorch(0.7),linstorch,0.047002315521240234,0.6162548065185547
96,linstorch(0.7),linstorch,0.04000091552734375,0.4562024772167206
97,linstorch(0.7),linstorch,0.0070002079010009766,0.5934382081031799
98,linstorch(0.7),linstorch,0.025998830795288086,0.5392851829528809
99,linstorch(0.7),linstorch,0.019998788833618164,0.5608826279640198
100,linstorch(0.6868421052631578),linstorch,0.010002613067626953,0.521510660648346
101,linstorch(0.6868421052631578),linstorch,0.029998302459716797,0.5421963334083557
102,linstorch(0.6868421052631578),linstorch,0.05599832534790039,0.7223526835441589
103,linstorch(0.6868421052631578),linstorch,0.03199958801269531,0.524657666683197
104,linstorch(0.6868421052631578),linstorch,0.03699922561645508,0.45855748653411865
105,linstorch(0.6868421052631578),linstorch,0.010001659393310547,0.48061054944992065
106,linstorch(0.6868421052631578),linstorch,0.04399871826171875,0.6155577898025513
107,linstorch(0.6868421052631578),linstorch,0.0040013790130615234,0.5046938061714172
108,linstorch(0.6868421052631578),linstorch,0.007000446319580078,0.6992392539978027
109,linstorch(0.6868421052631578),linstorch,0.010000228881835938,0.43157392740249634
110,linstorch(0.6868421052631578),linstorch,0.030001163482666016,0.5117199420928955
111,linstorch(0.6868421052631578),linstorch,0.03899860382080078,0.7061707973480225
112,linstorch(0.6868421052631578),linstorch,0.006999492645263672,0.7358343005180359
113,linstorch(0.6868421052631578),linstorch,0.012001276016235352,0.46530643105506897
114,linstorch(0.6868421052631578),linstorch,0.039000749588012695,0.41764768958091736
115,linstorch(0.6868421052631578),linstorch,0.017997026443481445,0.5961006283760071
116,linstorch(0.6868421052631578),linstorch,0.01599884033203125,0.5523337721824646
117,linstorch(0.6868421052631578),linstorch,0.0039975643157958984,0.6302776336669922
118,linstorch(0.6868421052631578),linstorch,0.009001016616821289,0.653354823589325
119,linstorch(0.6868421052631578),linstorch,0.003999471664428711,0.4744304418563843
120,linstorch(0.6868421052631578),linstorch,0.005997419357299805,0.6429856419563293
121,linstorch(0.6868421052631578),linstorch,0.009001731872558594,0.7314298152923584
122,linstorch(0.6868421052631578),linstorch,0.00599980354309082,0.6338027715682983
123,linstorch(0.6868421052631578),linstorch,0.0019996166229248047,0.5080333948135376
124,linstorch(0.6868421052631578),linstorch,0.013000965118408203,0.5067710280418396
125,linstorch(0.6868421052631578),linstorch,0.013001203536987305,0.5995373129844666
126,linstorch(0.6868421052631578),linstorch,0.052000999450683594,0.6140182614326477
127,linstorch(0.6868421052631578),linstorch,0.004001617431640625,0.5239565372467041
128,linstorch(0.6868421052631578),linstorch,0.018999099731445312,0.534067690372467
129,linstorch(0.6868421052631578),linstorch,0.035997867584228516,0.6000579595565796
130,linstorch(0.6868421052631578),linstorch,0.04200029373168945,0.5045848488807678
131,linstorch(0.6868421052631578),linstorch,0.023999691009521484,0.4961172342300415
132,linstorch(0.6868421052631578),linstorch,0.00400090217590332,0.5147752165794373
133,linstorch(0.6868421052631578),linstorch,0.03699803352355957,0.716640055179596
134,linstorch(0.6868421052631578),linstorch,0.006000995635986328,0.47439104318618774
135,linstorch(0.6868421052631578),linstorch,0.0070002079010009766,0.6703100204467773
136,linstorch(0.6868421052631578),linstorch,0.01699995994567871,0.4761090874671936
137,linstorch(0.6868421052631578),linstorch,0.014001607894897461,0.5391356945037842
138,linstorch(0.6868421052631578),linstorch,0.003999948501586914,0.6073113083839417
139,linstorch(0.6868421052631578),linstorch,0.02299809455871582,0.4700603783130646
140,linstorch(0.6868421052631578),linstorch,0.019999980926513672,0.495078980922699
141,linstorch(0.6868421052631578),linstorch,0.04000258445739746,0.4534326195716858
142,linstorch(0.6868421052631578),linstorch,0.011000633239746094,0.5702093839645386
143,linstorch(0.6868421052631578),linstorch,0.01699995994567871,0.4538358449935913
144,linstorch(0.6868421052631578),linstorch,0.007000446319580078,0.4877496659755707
145,linstorch(0.6868421052631578),linstorch,0.005997419357299805,0.5032102465629578
146,linstorch(0.6868421052631578),linstorch,0.02500176429748535,0.611891508102417
147,linstorch(0.6868421052631578),linstorch,0.0029997825622558594,0.7297885417938232
148,linstorch(0.6868421052631578),linstorch,0.0030024051666259766,0.5909062623977661
149,linstorch(0.6868421052631578),linstorch,0.03199911117553711,0.48956790566444397
150,linstorch(0.6868421052631578),linstorch,0.016999244689941406,0.5046520829200745
151,linstorch(0.6868421052631578),linstorch,0.0030014514923095703,0.6159440279006958
152,linstorch(0.6868421052631578),linstorch,0.03200078010559082,0.44673410058021545
153,linstorch(0.6868421052631578),linstorch,0.035001277923583984,0.7142617106437683
154,linstorch(0.6868421052631578),linstorch,0.006999492645263672,0.6178739070892334
155,linstorch(0.6868421052631578),linstorch,0.006001710891723633,0.7100597023963928
156,linstorch(0.6868421052631578),linstorch,0.009999752044677734,0.6759757399559021
157,linstorch(0.6868421052631578),linstorch,0.07500004768371582,0.5490029454231262
158,linstorch(0.6868421052631578),linstorch,0.05200052261352539,0.621273934841156
159,linstorch(0.6868421052631578),linstorch,0.009999752044677734,0.6681042909622192
160,linstorch(0.6868421052631578),linstorch,0.023999691009521484,0.6427159309387207
161,linstorch(0.6868421052631578),linstorch,0.013997554779052734,0.6634036898612976
162,linstorch(0.6868421052631578),linstorch,0.01200246810913086,0.45270848274230957
163,linstorch(0.6868421052631578),linstorch,0.013001203536987305,0.540553867816925
164,linstorch(0.6868421052631578),linstorch,0.006996870040893555,0.465897798538208
165,linstorch(0.6868421052631578),linstorch,0.009998559951782227,0.6014556288719177
166,linstorch(0.6868421052631578),linstorch,0.020000934600830078,0.4633081257343292
167,linstorch(0.6868421052631578),linstorch,0.01100301742553711,0.46050015091896057
168,linstorch(0.6868421052631578),linstorch,0.016997575759887695,0.5874195098876953
169,linstorch(0.6868421052631578),linstorch,0.007000446319580078,0.6840741634368896
170,linstorch(0.6868421052631578),linstorch,0.008997201919555664,0.49197089672088623
171,linstorch(0.6868421052631578),linstorch,0.016997575759887695,0.6221352815628052
172,linstorch(0.6868421052631578),linstorch,0.07000088691711426,0.698064386844635
173,linstorch(0.6868421052631578),linstorch,0.003999471664428711,0.502211332321167
174,linstorch(0.6868421052631578),linstorch,0.038001060485839844,0.5777629613876343
175,linstorch(0.6868421052631578),linstorch,0.01899862289428711,0.4668656587600708
176,linstorch(0.6868421052631578),linstorch,0.008000850677490234,0.6286435723304749
177,linstorch(0.6868421052631578),linstorch,0.020998716354370117,0.6957086324691772
178,linstorch(0.6868421052631578),linstorch,0.018002033233642578,0.5932214260101318
179,linstorch(0.6868421052631578),linstorch,0.009999513626098633,0.7279675602912903
180,linstorch(0.6868421052631578),linstorch,0.0390009880065918,0.637016236782074
181,linstorch(0.6868421052631578),linstorch,0.024000167846679688,0.5682964324951172
182,linstorch(0.6868421052631578),linstorch,0.0029997825622558594,0.6797940135002136
